Config,Rounds,#Agents,Prompt,Model own,Model other agents,Temperature self,Initial Preference,Initial Preference Name,Final Preference,Final Preference Name,Agreement?,Agreed Principle,Agreed Principle Name,Agent Name,File
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_5,config_04_results_20250811_041856
default_config.yaml,4,5,You are an american college student.,qwen/qwen3-coder,"['moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'x-ai/grok-4', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_07_results_20250811_051135
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['qwen/qwen3-coder', 'google/gemini-2.5-flash', 'x-ai/grok-4', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_07_results_20250811_051135
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'x-ai/grok-4', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_07_results_20250811_051135
default_config.yaml,4,5,You are an american college student.,x-ai/grok-4,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_07_results_20250811_051135
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_07_results_20250811_051135
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['google/gemini-2.5-flash', 'openai/gpt-4.1-mini', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_08_results_20250811_052205
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['anthropic/claude-sonnet-4', 'openai/gpt-4.1-mini', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_08_results_20250811_052205
default_config.yaml,4,5,You are an american college student.,openai/gpt-4.1-mini,"['anthropic/claude-sonnet-4', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_08_results_20250811_052205
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['anthropic/claude-sonnet-4', 'google/gemini-2.5-flash', 'openai/gpt-4.1-mini', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_08_results_20250811_052205
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['anthropic/claude-sonnet-4', 'google/gemini-2.5-flash', 'openai/gpt-4.1-mini', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_08_results_20250811_052205
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['openai/gpt-4.1', 'google/gemini-2.5-flash', 'openai/gpt-4.1-mini', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_10_results_20250811_063017
default_config.yaml,4,5,You are an american college student.,openai/gpt-4.1,"['google/gemini-2.5-flash', 'google/gemini-2.5-flash', 'openai/gpt-4.1-mini', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_10_results_20250811_063017
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['google/gemini-2.5-flash', 'openai/gpt-4.1', 'openai/gpt-4.1-mini', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_10_results_20250811_063017
default_config.yaml,4,5,You are an american college student.,openai/gpt-4.1-mini,"['google/gemini-2.5-flash', 'openai/gpt-4.1', 'google/gemini-2.5-flash', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_10_results_20250811_063017
default_config.yaml,4,5,You are an american college student.,x-ai/grok-4,"['google/gemini-2.5-flash', 'openai/gpt-4.1', 'google/gemini-2.5-flash', 'openai/gpt-4.1-mini']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_10_results_20250811_063017
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'deepseek/deepseek-chat-v3-0324', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_01_results_20250811_025813
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'deepseek/deepseek-chat-v3-0324', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_01_results_20250811_025813
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['moonshotai/kimi-k2', 'moonshotai/kimi-k2', 'deepseek/deepseek-chat-v3-0324', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_01_results_20250811_025813
default_config.yaml,4,5,You are an american college student.,deepseek/deepseek-chat-v3-0324,"['moonshotai/kimi-k2', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_01_results_20250811_025813
default_config.yaml,4,5,You are an american college student.,meta-llama/llama-4-maverick,"['moonshotai/kimi-k2', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'deepseek/deepseek-chat-v3-0324']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_01_results_20250811_025813
default_config.yaml,4,5,You are an american college student.,deepseek/deepseek-chat-v3-0324,"['anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_05_results_20250811_043707
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['deepseek/deepseek-chat-v3-0324', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_05_results_20250811_043707
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['deepseek/deepseek-chat-v3-0324', 'anthropic/claude-sonnet-4', 'google/gemini-2.5-flash', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_05_results_20250811_043707
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['deepseek/deepseek-chat-v3-0324', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_05_results_20250811_043707
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['deepseek/deepseek-chat-v3-0324', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_05_results_20250811_043707
